date,hour,channel,revenue,checks,paid_checks,AOV
2025-02-02,16,Restaurant,75463.0,15,15,5030.866666666667
2025-02-02,17,Restaurant,80696.45,14,14,5764.032142857142
2025-02-02,18,Delivery,340.0,1,1,340.0
2025-02-02,19,Restaurant,86611.6,12,12,7217.633333333334
2025-02-02,20,Delivery,4727.7,2,2,2363.85
2025-02-03,10,Aggregator,2638.4,2,2,1319.2
2025-02-03,11,Aggregator,2964.7999999999997,2,2,1482.3999999999999
2025-02-03,13,Delivery,12502.65,4,4,3125.6625
2025-02-03,13,Pickup,6154.0,3,3,2051.3333333333335
2025-02-03,13,Aggregator,2135.2,2,2,1067.6
2025-02-03,18,Aggregator,8547.599999999999,2,2,4273.799999999999
2025-02-03,18,Delivery,3757.0,1,1,3757.0
2025-02-03,19,Aggregator,14681.199999999999,7,7,2097.3142857142857
2025-02-03,20,Aggregator,8506.8,5,5,1701.36
2025-02-03,21,Aggregator,10111.6,4,4,2527.9
2025-02-03,22,Aggregator,2033.1999999999998,1,1,2033.1999999999998
2025-02-03,22,Delivery,3791.0,1,1,3791.0
2025-02-03,9,Restaurant,6366.5,4,4,1591.625
2025-02-03,12,Restaurant,19312.0,7,7,2758.8571428571427
2025-02-03,14,Restaurant,37989.9,10,10,3798.9900000000002
2025-02-03,15,Restaurant,18647.3,10,8,2330.9125
2025-02-03,16,Restaurant,31092.999999999996,10,10,3109.2999999999997
2025-02-03,17,Restaurant,16433.9,6,5,3286.78
2025-02-03,20,Delivery,0.0,1,0,
2025-02-04,12,Delivery,8584.15,3,3,2861.383333333333
2025-02-04,12,Aggregator,18482.399999999998,11,11,1680.2181818181816
2025-02-04,18,Aggregator,21467.6,7,7,3066.7999999999997
2025-02-04,18,Delivery,1461.15,1,1,1461.15
2025-02-04,22,Aggregator,952.0,1,1,952.0
2025-02-04,9,Delivery,884.0,2,2,442.0
2025-02-04,10,Restaurant,9146.0,6,6,1524.3333333333333
2025-02-04,11,Restaurant,44456.7,14,14,3175.4785714285713
2025-02-04,13,Restaurant,26438.4,13,13,2033.723076923077
2025-02-04,14,Restaurant,39666.1,16,16,2479.13125
2025-02-04,15,Restaurant,25698.899999999998,12,12,2141.575
2025-02-04,16,Restaurant,36031.5,12,12,3002.625
2025-02-04,17,Restaurant,49750.5,9,9,5527.833333333333
2025-02-04,19,Restaurant,64306.75,9,9,7145.194444444444
2025-02-04,20,Restaurant,24952.175,9,8,3119.021875
2025-02-04,21,Restaurant,8559.5,2,2,4279.75
2025-02-05,12,Aggregator,7350.799999999999,4,4,1837.6999999999998
2025-02-05,13,Aggregator,5773.199999999999,3,3,1924.3999999999996
2025-02-05,15,Aggregator,9329.6,4,4,2332.4
2025-02-05,17,Delivery,10769.5,2,2,5384.75
2025-02-05,17,Pickup,2330.7,2,2,1165.35
2025-02-05,17,Aggregator,5344.799999999999,3,3,1781.5999999999997
2025-02-05,18,Aggregator,12294.4,3,3,4098.133333333333
2025-02-05,18,Delivery,5414.5,2,2,2707.25
2025-02-05,9,Restaurant,23162.500000000004,11,11,2105.6818181818185
2025-02-05,10,Restaurant,11934.0,6,6,1989.0
2025-02-05,11,Restaurant,16972.8,7,7,2424.6857142857143
2025-02-05,14,Restaurant,46363.25,17,17,2727.25
2025-02-05,16,Restaurant,29437.2,8,8,3679.65
2025-02-05,19,Restaurant,82531.175,7,7,11790.167857142858
2025-02-05,20,Restaurant,41310.0,10,10,4131.0
2025-02-05,21,Restaurant,13569.4,5,5,2713.88
2025-02-06,10,Aggregator,1400.8,1,1,1400.8
2025-02-06,12,Aggregator,7473.2,4,4,1868.3
2025-02-06,15,Pickup,5083.0,3,3,1694.3333333333333
2025-02-06,16,Aggregator,6677.599999999999,3,3,2225.8666666666663
2025-02-06,19,Delivery,2346.0,1,1,2346.0
2025-02-06,19,Aggregator,2692.7999999999997,1,1,2692.7999999999997
2025-02-06,19,Pickup,5797.0,2,2,2898.5
2025-02-06,9,Restaurant,30676.499999999996,13,13,2359.730769230769
2025-02-06,11,Restaurant,42300.25,16,16,2643.765625
2025-02-06,13,Restaurant,39657.6,13,13,3050.584615384615
2025-02-06,14,Restaurant,66830.4,19,19,3517.3894736842103
2025-02-06,17,Restaurant,40188.0,12,12,3349.0
2025-02-06,18,Restaurant,30730.899999999998,9,9,3414.5444444444443
2025-02-06,20,Restaurant,29214.500000000004,8,8,3651.8125000000005
2025-02-06,21,Restaurant,11839.225,7,7,1691.3178571428573
2025-02-07,10,Aggregator,4923.2,3,3,1641.0666666666666
2025-02-07,10,Delivery,4258.5,1,1,4258.5
2025-02-07,11,Pickup,816.0,1,1,816.0
2025-02-07,12,Delivery,4675.0,2,2,2337.5
2025-02-07,12,Aggregator,5521.6,3,3,1840.5333333333335
2025-02-07,15,Aggregator,5100.0,2,2,2550.0
2025-02-07,18,Aggregator,27839.2,9,9,3093.2444444444445
2025-02-07,18,Delivery,2533.0,1,1,2533.0
2025-02-07,20,Delivery,5991.65,4,4,1497.9125
2025-02-07,20,Pickup,9511.5,3,3,3170.5
2025-02-07,20,Aggregator,14110.0,7,7,2015.7142857142858
2025-02-07,9,Restaurant,39909.200000000004,11,11,3628.1090909090913
2025-02-07,11,Delivery,734.4,1,1,734.4
2025-02-07,13,Restaurant,35484.1,10,10,3548.41
2025-02-07,14,Restaurant,47586.399999999994,22,22,2163.0181818181813
2025-02-07,16,Restaurant,64620.314999999995,13,13,4970.793461538461
2025-02-07,17,Restaurant,88048.1,8,8,11006.0125
2025-02-07,18,Banquet,51485.35,1,1,51485.35
2025-02-07,19,Restaurant,123095.725,16,16,7693.4828125
2025-02-07,21,Restaurant,44909.325,8,8,5613.665625
2025-02-08,10,Aggregator,6528.000000000001,4,4,1632.0000000000002
2025-02-08,11,Aggregator,4719.199999999999,3,3,1573.0666666666664
2025-02-08,13,Aggregator,5678.0,4,4,1419.5
2025-02-08,13,Pickup,1751.0,1,1,1751.0
2025-02-08,13,Delivery,10446.5,3,3,3482.1666666666665
2025-02-08,17,Aggregator,15109.599999999997,6,6,2518.266666666666
2025-02-08,17,Delivery,6196.5,2,2,3098.25
2025-02-08,18,Aggregator,14490.799999999997,5,5,2898.1599999999994
2025-02-08,18,Delivery,4563.65,2,2,2281.825
2025-02-08,20,Delivery,11109.5,3,3,3703.1666666666665
2025-02-08,20,Aggregator,7423.9,4,4,1855.975
2025-02-08,9,Restaurant,7706.95,4,4,1926.7375
2025-02-08,12,Restaurant,62006.649999999994,19,19,3263.507894736842
2025-02-08,14,Restaurant,129404.85,15,15,8626.99
2025-02-08,15,Restaurant,100362.9,21,21,4779.185714285714
2025-02-08,16,Restaurant,232920.40000000002,13,13,17916.953846153847
2025-02-08,19,Restaurant,67660.85,9,9,7517.872222222223
2025-02-08,21,Restaurant,23641.9,6,6,3940.316666666667
2025-02-08,22,Restaurant,8585.0,3,3,2861.6666666666665
2025-02-09,11,Delivery,212.5,2,2,106.25
2025-02-09,12,Pickup,14203.5,1,1,14203.5
2025-02-09,12,Aggregator,17115.6,5,4,4278.9
2025-02-09,13,Delivery,17561.0,6,6,2926.8333333333335
2025-02-09,13,Aggregator,8037.599999999999,3,3,2679.2
2025-02-09,18,Aggregator,6881.6,4,4,1720.4
2025-02-09,19,Aggregator,16061.599999999999,6,6,2676.933333333333
2025-02-09,21,Delivery,6409.0,1,1,6409.0
2025-02-09,21,Aggregator,10165.999999999998,4,4,2541.4999999999995
2025-02-09,9,Restaurant,7153.6,3,3,2384.5333333333333
2025-02-09,10,Restaurant,15801.5,7,7,2257.3571428571427
2025-02-09,14,Restaurant,33422.0,8,8,4177.75
2025-02-09,15,Restaurant,99303.8,21,21,4728.752380952381
2025-02-09,16,Restaurant,48734.74999999999,10,10,4873.474999999999
2025-02-09,17,Restaurant,97328.825,17,17,5725.224999999999
2025-02-09,20,Restaurant,31921.75,7,7,4560.25
2025-02-09,22,Banquet,29750.0,1,1,29750.0
2025-02-10,10,Aggregator,8078.4,7,7,1154.0571428571427
2025-02-10,11,Aggregator,3223.2,2,2,1611.6
2025-02-10,12,Aggregator,9533.599999999999,6,6,1588.9333333333332
2025-02-10,12,Delivery,1921.0,1,1,1921.0
2025-02-10,13,Delivery,8364.0,2,2,4182.0
2025-02-10,13,Pickup,1436.5,1,1,1436.5
2025-02-10,13,Aggregator,5283.6,2,2,2641.8
2025-02-10,14,Aggregator,13110.400000000001,6,6,2185.066666666667
2025-02-10,14,Pickup,2142.0,1,1,2142.0
2025-02-10,15,Delivery,3366.0,1,1,3366.0
2025-02-10,15,Aggregator,18863.2,4,4,4715.8
2025-02-10,17,Aggregator,1808.7999999999997,1,1,1808.7999999999997
2025-02-10,19,Aggregator,9486.0,4,4,2371.5
2025-02-10,9,Restaurant,18769.7,9,9,2085.5222222222224
2025-02-10,14,Delivery,212.5,1,1,212.5
2025-02-10,16,Restaurant,59313.84999999999,11,11,5392.168181818181
2025-02-10,18,Restaurant,54876.0,11,11,4988.727272727273
2025-02-10,20,Restaurant,45840.5,7,7,6548.642857142857
2025-02-10,21,Delivery,5550.5,2,2,2775.25
2025-02-10,21,Banquet,374.0,1,1,374.0
2025-02-11,10,Aggregator,1822.3999999999999,2,2,911.1999999999999
2025-02-11,12,Aggregator,7282.8,4,4,1820.7
2025-02-11,12,Delivery,14236.65,4,4,3559.1625
2025-02-11,14,Aggregator,12949.239999999998,7,7,1849.8914285714284
2025-02-11,14,Delivery,10046.15,3,3,3348.7166666666667
2025-02-11,17,Delivery,10667.5,3,3,3555.8333333333335
2025-02-11,17,Aggregator,666.4,1,1,666.4
2025-02-11,18,Pickup,2006.0,2,2,1003.0
2025-02-11,18,Aggregator,2753.9999999999995,1,1,2753.9999999999995
2025-02-11,19,Aggregator,8602.0,3,3,2867.3333333333335
2025-02-11,20,Aggregator,11900.0,7,7,1700.0
2025-02-11,9,Restaurant,17002.55,9,9,1889.1722222222222
2025-02-11,11,Restaurant,31272.35,12,12,2606.0291666666667
2025-02-11,13,Restaurant,51297.924999999996,18,18,2849.884722222222
2025-02-11,15,Restaurant,22396.65,8,8,2799.58125
2025-02-11,16,Restaurant,31458.925,6,6,5243.154166666666
2025-02-11,21,Restaurant,14980.4,6,6,2496.733333333333
2025-02-12,12,Delivery,6672.5,3,3,2224.1666666666665
2025-02-12,12,Pickup,1810.5,2,2,905.25
2025-02-12,14,Aggregator,4800.8,2,2,2400.4
2025-02-12,15,Delivery,4173.5,2,2,2086.75
2025-02-12,15,Aggregator,10642.0,4,4,2660.5
2025-02-12,17,Pickup,3111.0,1,1,3111.0
2025-02-12,17,Aggregator,4800.799999999999,3,3,1600.2666666666664
2025-02-12,17,Delivery,18181.5,4,4,4545.375
2025-02-12,20,Delivery,3213.0,2,2,1606.5
2025-02-12,20,Aggregator,13151.199999999999,6,6,2191.8666666666663
2025-02-12,9,Restaurant,22733.675,12,12,1894.4729166666666
2025-02-12,10,Delivery,263.5,1,1,263.5
2025-02-12,11,Restaurant,26719.75,7,7,3817.1071428571427
2025-02-12,13,Restaurant,41784.299999999996,18,18,2321.35
2025-02-12,16,Restaurant,39151.85,11,11,3559.259090909091
2025-02-12,18,Restaurant,56254.7,11,11,5114.063636363636
2025-02-12,19,Restaurant,122852.20000000001,13,13,9450.169230769232
2025-02-12,21,Restaurant,10395.5,4,4,2598.875
2025-02-13,10,Aggregator,3746.8,3,3,1248.9333333333334
2025-02-13,10,Delivery,2244.0,1,1,2244.0
2025-02-13,11,Aggregator,4127.599999999999,2,2,2063.7999999999997
2025-02-13,11,Delivery,4053.65,2,2,2026.825
2025-02-13,16,Delivery,23808.5,6,6,3968.0833333333335
2025-02-13,16,Aggregator,5956.8,3,3,1985.6000000000001
2025-02-13,17,Aggregator,18196.8,7,7,2599.542857142857
2025-02-13,19,Aggregator,25712.84,7,7,3673.2628571428572
2025-02-13,19,Delivery,3757.0,1,1,3757.0
2025-02-13,20,Aggregator,43485.99999999999,10,10,4348.599999999999
2025-02-13,21,Aggregator,5215.599999999999,3,3,1738.533333333333
2025-02-13,9,Restaurant,33954.100000000006,16,16,2122.1312500000004
2025-02-13,12,Restaurant,33767.95,11,11,3069.8136363636363
2025-02-13,13,Restaurant,52757.799999999996,20,20,2637.89
2025-02-13,14,Restaurant,62890.862499999996,18,18,3493.936805555555
2025-02-13,15,Restaurant,18457.325000000004,9,9,2050.8138888888893
2025-02-13,18,Restaurant,102389.3,19,19,5388.91052631579
2025-02-14,12,Aggregator,10587.599999999999,2,2,5293.799999999999
2025-02-14,12,Delivery,8194.0,2,2,4097.0
2025-02-14,15,Aggregator,5950.0,4,4,1487.5
2025-02-14,16,Aggregator,32442.799999999996,10,10,3244.2799999999997
2025-02-14,17,Aggregator,21508.399999999998,7,7,3072.628571428571
2025-02-14,17,Delivery,15647.65,7,7,2235.3785714285714
2025-02-14,17,Pickup,952.0,1,1,952.0
2025-02-14,18,Aggregator,22181.599999999995,8,8,2772.6999999999994
2025-02-14,18,Delivery,37238.5,9,9,4137.611111111111
2025-02-14,18,Pickup,7259.0,2,2,3629.5
2025-02-14,19,Delivery,14773.0,6,6,2462.1666666666665
2025-02-14,19,Aggregator,32918.8,11,11,2992.618181818182
2025-02-14,19,Pickup,3366.0,2,2,1683.0
2025-02-14,20,Delivery,12710.05,5,5,2542.0099999999998
2025-02-14,20,Aggregator,33204.4,11,11,3018.581818181818
2025-02-14,21,Aggregator,24949.2,8,7,3564.171428571429
2025-02-14,9,Restaurant,26568.875,10,10,2656.8875
2025-02-14,10,Restaurant,35558.9,11,11,3232.627272727273
2025-02-14,11,Restaurant,22177.775,9,9,2464.1972222222225
2025-02-14,13,Restaurant,44066.125,13,13,3389.701923076923
2025-02-14,14,Restaurant,55098.7,12,12,4591.558333333333
2025-02-15,10,Delivery,1972.0,2,2,986.0
2025-02-15,11,Aggregator,7350.799999999999,3,3,2450.2666666666664
2025-02-15,14,Delivery,4972.5,1,1,4972.5
2025-02-15,14,Aggregator,2046.7999999999997,1,1,2046.7999999999997
2025-02-15,17,Delivery,11135.0,3,3,3711.6666666666665
2025-02-15,17,Aggregator,18849.6,7,7,2692.7999999999997
2025-02-15,19,Aggregator,25418.399999999998,10,10,2541.8399999999997
2025-02-15,19,Delivery,7003.15,3,3,2334.383333333333
2025-02-15,19,Pickup,2346.0,2,2,1173.0
2025-02-15,9,Restaurant,24063.5,9,9,2673.722222222222
2025-02-15,12,Restaurant,79192.8,28,28,2828.3142857142857
2025-02-15,13,Restaurant,46027.5,10,10,4602.75
2025-02-15,15,Restaurant,105977.3625,20,20,5298.868125
2025-02-15,16,Restaurant,27859.175,7,7,3979.8821428571428
2025-02-15,18,Restaurant,95760.57499999998,18,17,5632.9749999999985
2025-02-15,20,Restaurant,39839.5,8,7,5691.357142857143
2025-02-15,21,Restaurant,5251.725,2,2,2625.8625
2025-02-15,22,Restaurant,2796.5,1,1,2796.5
2025-02-16,10,Aggregator,16728.0,7,7,2389.714285714286
2025-02-16,10,Delivery,7888.0,2,2,3944.0
2025-02-16,11,Aggregator,4855.2,2,2,2427.6
2025-02-16,12,Delivery,1870.0,1,1,1870.0
2025-02-16,12,Aggregator,13912.8,3,3,4637.599999999999
2025-02-16,13,Aggregator,20672.0,8,8,2584.0
2025-02-16,14,Aggregator,3631.2,2,2,1815.6
2025-02-16,14,Delivery,4062.15,4,4,1015.5375
2025-02-16,17,Delivery,6426.0,4,4,1606.5
2025-02-16,17,Aggregator,18978.8,7,7,2711.2571428571428
2025-02-16,17,Pickup,3680.5,3,3,1226.8333333333333
2025-02-16,18,Aggregator,17924.8,6,6,2987.4666666666667
2025-02-16,18,Delivery,8100.5,3,3,2700.1666666666665
2025-02-16,20,Aggregator,3780.8,2,2,1890.4
2025-02-16,20,Delivery,5805.5,4,4,1451.375
2025-02-16,20,Pickup,557.6,1,1,557.6
2025-02-16,21,Pickup,1625.1999999999998,1,1,1625.1999999999998
2025-02-16,21,Aggregator,1808.8,1,1,1808.8
2025-02-16,22,Delivery,5720.5,1,1,5720.5
2025-02-16,8,Restaurant,1514.7,1,1,1514.7
2025-02-16,13,Delivery,3791.0,2,2,1895.5
2025-02-16,15,Restaurant,64419.8,10,10,6441.9800000000005
2025-02-16,16,Restaurant,92375.45,13,13,7105.803846153846
2025-02-16,19,Restaurant,67898.0,15,15,4526.533333333334
2025-02-17,11,Aggregator,843.1999999999999,1,1,843.1999999999999
2025-02-17,9,Restaurant,25016.35,10,10,2501.6349999999998
2025-02-17,10,Restaurant,22120.825,10,10,2212.0825
2025-02-17,12,Restaurant,22892.2,11,11,2081.109090909091
2025-02-17,14,Restaurant,20753.6,9,9,2305.9555555555553
2025-02-17,15,Restaurant,34244.8,11,11,3113.1636363636367
2025-02-17,16,Restaurant,12356.45,6,6,2059.4083333333333
2025-02-17,18,Restaurant,53748.899999999994,12,12,4479.075
2025-02-17,19,Restaurant,40182.899999999994,9,9,4464.766666666666
2025-02-17,20,Restaurant,50718.225,11,11,4610.747727272727
2025-02-17,21,Restaurant,85715.7,4,4,21428.925
2025-02-18,10,Pickup,1283.5,1,1,1283.5
2025-02-18,10,Aggregator,1434.8,2,2,717.4
2025-02-18,14,Aggregator,10995.599999999999,5,5,2199.12
2025-02-18,14,Pickup,1275.0,1,1,1275.0
2025-02-18,15,Aggregator,2244.0,2,2,1122.0
2025-02-18,17,Aggregator,17652.8,5,5,3530.56
2025-02-18,18,Aggregator,26486.0,10,10,2648.6
2025-02-18,18,Pickup,10812.0,1,1,10812.0
2025-02-18,19,Aggregator,12940.4,5,5,2588.08
2025-02-18,20,Aggregator,10030.0,5,5,2006.0
2025-02-18,21,Aggregator,5032.0,3,3,1677.3333333333333
2025-02-18,9,Restaurant,12671.8,9,9,1407.9777777777776
2025-02-18,11,Restaurant,28927.2,9,9,3214.133333333333
2025-02-18,12,Restaurant,42414.575,15,15,2827.6383333333333
2025-02-18,13,Restaurant,22212.2,9,9,2468.0222222222224
2025-02-18,14,Delivery,9545.5,3,3,3181.8333333333335
2025-02-18,16,Restaurant,30217.5,4,4,7554.375
2025-02-18,19,Delivery,2380.0,2,2,1190.0
2025-02-18,19,Banquet,3272.5,1,1,3272.5
2025-02-18,22,Delivery,297.5,1,1,297.5
2025-02-19,12,Delivery,11448.65,4,4,2862.1625
2025-02-19,12,Aggregator,12280.8,6,6,2046.8
2025-02-19,13,Aggregator,3706.0,3,3,1235.3333333333333
2025-02-19,14,Aggregator,4080.0,2,2,2040.0
2025-02-19,14,Pickup,7794.5,3,3,2598.1666666666665
2025-02-19,16,Pickup,807.5,1,1,807.5
2025-02-19,16,Aggregator,5113.6,2,2,2556.8
2025-02-19,18,Pickup,5831.0,2,2,2915.5
2025-02-19,18,Delivery,7361.0,2,2,3680.5
2025-02-19,19,Delivery,4292.5,2,2,2146.25
2025-02-19,19,Aggregator,5406.0,3,3,1802.0
2025-02-19,20,Aggregator,12831.599999999999,6,6,2138.6
2025-02-19,20,Delivery,2014.5,1,1,2014.5
2025-02-19,10,Restaurant,32858.45,6,6,5476.408333333333
2025-02-19,11,Delivery,663.0,1,1,663.0
2025-02-01,11,Aggregator,3168.8,2,2,1584.4
2025-02-01,11,Delivery,3374.5,1,1,3374.5
2025-02-01,16,Delivery,4768.5,2,2,2384.25
2025-02-01,18,Pickup,1955.0,1,1,1955.0
2025-02-01,21,Aggregator,8683.6,4,4,2170.9
2025-02-01,10,Delivery,297.5,1,1,297.5
2025-02-02,11,Delivery,1852.15,1,1,1852.15
2025-02-02,22,Delivery,3740.0,1,1,3740.0
2025-02-02,15,Delivery,421.59999999999997,1,1,421.59999999999997
2025-02-03,18,Pickup,2009.4,2,2,1004.7
2025-02-03,20,Pickup,2652.0,1,1,2652.0
2025-02-04,18,Pickup,1037.0,1,1,1037.0
2025-02-05,12,Delivery,3272.5,1,1,3272.5
2025-02-05,13,Pickup,2040.0,1,1,2040.0
2025-02-05,13,Delivery,3645.65,2,2,1822.825
2025-02-05,15,Delivery,3510.5,1,1,3510.5
2025-02-06,12,Delivery,3757.0,1,1,3757.0
2025-02-06,15,Aggregator,14676.1,5,5,2935.2200000000003
2025-02-06,15,Delivery,4335.0,1,1,4335.0
2025-02-06,16,Delivery,9078.0,2,2,4539.0
2025-02-06,16,Pickup,4148.0,1,1,4148.0
2025-02-06,10,Delivery,425.0,1,1,425.0
2025-02-07,11,Aggregator,2210.0,1,1,2210.0
2025-02-07,12,Pickup,4564.5,2,2,2282.25
2025-02-07,15,Delivery,3655.0,1,1,3655.0
2025-02-07,18,Pickup,1105.0,1,1,1105.0
2025-02-07,22,Aggregator,4311.2,2,2,2155.6
2025-02-08,17,Pickup,2964.7999999999997,1,1,2964.7999999999997
2025-02-09,11,Aggregator,4005.1999999999994,1,1,4005.1999999999994
2025-02-09,18,Delivery,8653.0,2,2,4326.5
2025-02-09,19,Pickup,6638.5,2,2,3319.25
2025-02-10,10,Delivery,3731.5,1,1,3731.5
2025-02-10,12,Pickup,3017.5,1,1,3017.5
2025-02-10,17,Delivery,4224.5,2,2,2112.25
2025-02-10,19,Pickup,2040.0,1,1,2040.0
2025-02-10,21,Aggregator,6718.4,3,3,2239.4666666666667
2025-02-10,13,Banquet,73694.15,1,1,73694.15
2025-02-11,14,Pickup,1589.5,1,1,1589.5
2025-02-11,18,Delivery,7951.75,2,2,3975.875
2025-02-12,10,Aggregator,584.8,1,1,584.8
2025-02-12,12,Aggregator,8568.0,4,4,2142.0
2025-02-12,14,Pickup,3221.5,1,1,3221.5
2025-02-12,14,Delivery,3081.25,2,2,1540.625
2025-02-12,20,Pickup,904.4,1,1,904.4
2025-02-12,22,Restaurant,4964.0,1,1,4964.0
2025-02-13,11,Pickup,3017.5,1,1,3017.5
2025-02-13,17,Delivery,8687.0,2,2,4343.5
2025-02-13,20,Delivery,4258.5,1,1,4258.5
2025-02-14,12,Pickup,714.0,1,1,714.0
2025-02-14,15,Delivery,10200.0,1,1,10200.0
2025-02-14,15,Pickup,3867.5,1,1,3867.5
2025-02-14,16,Delivery,10003.65,2,2,5001.825
2025-02-14,16,Pickup,2907.0,1,1,2907.0
2025-02-14,20,Pickup,1210.3999999999999,1,1,1210.3999999999999
2025-02-15,10,Aggregator,6432.8,4,4,1608.2
2025-02-15,14,Banquet,165930.625,1,1,165930.625
2025-02-16,12,Pickup,2713.2,1,1,2713.2
2025-02-16,13,Pickup,4675.0,2,2,2337.5
2025-02-17,13,Delivery,3587.0,1,1,3587.0
2025-02-17,13,Aggregator,1849.6,1,1,1849.6
2025-02-17,17,Delivery,3510.5,1,1,3510.5
2025-02-17,17,Aggregator,5290.4,2,2,2645.2
2025-02-18,15,Delivery,2337.5,1,1,2337.5
2025-02-18,15,Pickup,1887.0,1,1,1887.0
2025-02-18,19,Pickup,258.4,1,1,258.4
2025-02-18,21,Pickup,493.0,1,1,493.0
2025-02-18,21,Delivery,3782.5,1,1,3782.5
2025-02-18,17,Banquet,12563.0,1,1,12563.0
2025-02-18,22,Banquet,4998.0,1,1,4998.0
2025-02-19,11,Aggregator,1400.8,1,1,1400.8
2025-02-19,13,Pickup,3910.0,1,1,3910.0
2025-02-19,14,Delivery,866.15,1,1,866.15
2025-02-19,16,Delivery,2116.5,1,1,2116.5
2025-02-19,15,Restaurant,16388.0,6,6,2731.3333333333335
2025-02-19,17,Restaurant,46951.024999999994,7,7,6707.289285714285
2025-02-20,14,Aggregator,14116.8,6,6,2352.7999999999997
2025-02-20,16,Aggregator,6840.8,2,2,3420.4
2025-02-20,16,Pickup,2941.0,1,1,2941.0
2025-02-20,21,Aggregator,1441.6,1,1,1441.6
2025-02-20,9,Restaurant,22358.4,12,12,1863.2
2025-02-20,10,Restaurant,20935.5,9,9,2326.1666666666665
2025-02-20,12,Restaurant,32019.5,12,12,2668.2916666666665
2025-02-20,13,Restaurant,38963.575000000004,16,16,2435.2234375000003
2025-02-20,15,Restaurant,43522.975000000006,10,10,4352.297500000001
2025-02-20,18,Restaurant,39694.15,14,14,2835.296428571429
2025-02-20,19,Restaurant,44951.4,13,13,3457.8
2025-02-20,20,Restaurant,48759.4,11,11,4432.672727272728
2025-02-21,10,Delivery,2516.0,2,2,1258.0
2025-02-21,10,Aggregator,4406.4,3,3,1468.8
2025-02-21,17,Delivery,14926.0,4,4,3731.5
2025-02-21,20,Aggregator,28716.4,10,10,2871.6400000000003
2025-02-21,20,Delivery,3459.5,1,1,3459.5
2025-02-21,21,Pickup,2881.5,1,1,2881.5
2025-02-21,21,Aggregator,21916.4,7,7,3130.914285714286
2025-02-21,22,Aggregator,2427.5999999999995,2,2,1213.7999999999997
2025-02-21,9,Restaurant,27194.9,11,11,2472.2636363636366
2025-02-21,11,Restaurant,15194.6,7,7,2170.657142857143
2025-02-21,12,Restaurant,33331.475000000006,13,13,2563.959615384616
2025-02-21,14,Restaurant,58202.899999999994,19,19,3063.310526315789
2025-02-21,15,Restaurant,7626.2,4,4,1906.55
2025-02-21,16,Restaurant,56406.0,8,8,7050.75
2025-02-21,18,Restaurant,67116.0,15,15,4474.4
2025-02-21,19,Restaurant,77860.425,14,14,5561.458928571429
2025-02-22,13,Aggregator,11009.199999999997,4,4,2752.2999999999993
2025-02-22,13,Pickup,756.5,1,1,756.5
2025-02-22,14,Pickup,2074.0,1,1,2074.0
2025-02-22,14,Aggregator,9751.2,4,4,2437.8
2025-02-22,16,Pickup,7089.0,1,1,7089.0
2025-02-22,16,Aggregator,18149.2,5,5,3629.84
2025-02-22,16,Delivery,15383.3,6,6,2563.883333333333
2025-02-22,17,Aggregator,21630.800000000003,8,8,2703.8500000000004
2025-02-22,17,Delivery,13583.0,4,4,3395.75
2025-02-22,20,Aggregator,11546.399999999998,5,5,2309.2799999999997
